Table 1
University,Specialty
Жетысуский университет имени Ильяса Жансугурова,7M04103 Менеджмент
Академия «Кайнар»,7M04103 Менеджмент
Международный университет Астана,7M04103 Менеджмент в образовании
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M04103 Проектный менеджмент
Кокшетауский университет имени Ш. Уалиханова,7M04103 Устойчивое сельское хозяйство и развитие сельских территорий
Университет «Туран-Астана»,7M04103 Учет и аудит
Шымкентский университет,7M04103 Учет и аудит
Казахский национальный аграрный исследовательский университет,7M04103 Учет и аудит
Университет «Туран»,7M04103 Учет и аудит
Костанайский региональный университет имени Ахмет Байтұрсынұлы,7M04103 Учет и аудит
Казахский Национальный педагогический университет имени Абая,7M04103 Учет и аудит
Казахский Национальный педагогический университет имени Абая,7M04103 Учет и аудит  (Профильная)
Университет «Мирас»,7M04103 Учет и аудит [Научно-педагогическое направление]
Торайгыров университет,7M04103 Финансы
Казахстанско-Американский свободный университет,7M04103 Финансы
Международный Таразский инновационный институт имени Шерхана Муртазы,7M04103 Финансы (профильное направление)
Каспийский университет технологий и инжиниринга имени Ш. Есенова,7M04103 Экономика
Карагандинский индустриальный университет,7M04103 Экономика
Казахский национальный университет им.аль-Фараби,7M04103 Экономика
Восточно-Казахстанский технический университет им. Д. Серикбаева,7M04103 Экономика инноваций
Международный инженерно-технологический университет,7M04103 Экономика реального сектора (профильная 1 года)
Восточно-Казахстанский университет имени Сарсена Аманжолова,7M04104  Экономика
Академия физической культуры и массового спорта,7M04104 EMBA Sport management
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M04104 Executive MBA
Казахский национальный медицинский университет им. С.Д.Асфендиярова,7M04104 MBA Менеджмент в здравоохранении
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M04104 Бухгалтерский учет и правовое обеспечение бизнеса
Атырауский университет имени Х.Досмухамедова,"7M04104 Бухгалтерский учет, аудит и контроллинг"
Казахский национальный университет им.аль-Фараби,7M04104 Государственное и местное управление
Карагандинский университет Казпотребсоюза,7M04104 Государственное и местное управление
Esil University,7M04104 Государственное и местное управление
Инновационный Евразийский университет,7M04104 Деловое администрирование (MBA)
Каспийский университет технологий и инжиниринга имени Ш. Есенова,7M04104 Деловое администрирование (MBA)
Международный университет информационных технологий,7M04104 Деловое администрирование EMBA Digital Marketing
Торайгыров университет,7M04104 Маркетинг
Атырауский университет нефти и газа имени С. Утебаева,7M04104 МВА в Устойчивом развитии
Северо-Казахстанский университет им.М.Козыбаева,7M04104 Менеджмент
Казахско-русский международный университет,7M04104 Менеджмент
Евразийский технологический университет,7M04104 Менеджмент (НПМ 2г)
Де Монтфорт Юниверсити Казахстан,7M04104 Проектный менеджмент
Международный университет Астана,7M04104 Социальное предпринимательство
Жетысуский университет имени Ильяса Жансугурова,7M04104 Учет и аудит
Евразийский национальный университет им. Л.Н.Гумилева,7M04104 Учет и аудит
Евразийский национальный университет им. Л.Н.Гумилева,"7M04104 Учет, аудит и анализ"
Университет КИМЭП,7M04104 Учета и аудит
Университет «Туран-Астана»,7M04104 Финансы
Казахский национальный аграрный исследовательский университет,7M04104 Финансы
Актюбинский региональный университет имени К.Жубанова,7M04104 Финансы
Университет «Туран»,7M04104 Финансы
Казахстанско-Американский свободный университет,7M04104 Финансы
Кызылординский университет имени Коркыт Ата,7M04104 Финансы
Международный Таразский инновационный институт имени Шерхана Муртазы,7M04104 Финансы
Костанайский региональный университет имени Ахмет Байтұрсынұлы,7M04104 Финансы
Казахский Национальный педагогический университет имени Абая,7M04104 Финансы
Казахстанско-Британский технический университет,7M04104 Финансы
Казахский Национальный педагогический университет имени Абая,7M04104 Финансы (профильная)
Казахстанско-Британский технический университет,7M04104 Финансы (профильное направление)
Astana IT University,7M04104 Цифровое государственное управление и услуги
Шымкентский университет,7M04104 Экономика
Карагандинский индустриальный университет,7M04104 Экономика
Центрально-Казахстанская академия,7M04104 Экономика
Академия «Кайнар»,7M04104 Экономика
Западно-Казахстанский инновационно-технологический университет,7M04104 Экономика (1 год)
Кокшетауский университет имени Ш. Уалиханова,7M04104 Экономика по отраслям
Карагандинский технический университет имени Абылкаса Сагинова,7M04104 Экономика промышленности
Карагандинский технический университет имени Абылкаса Сагинова,7M04104 Экономика промышленности (2)
Казахский национальный медицинский университет им. С.Д.Асфендиярова,7M04105 EMBA Менеджмент в здравоохранении
Казахстанско-Американский свободный университет,7M04105 IT Менеджмент
Центрально-Казахстанская академия,7M04105 MBA (Master of Business Administration)
Академия государственного управления при президенте РК,7M04105 Государственная политика (MPP 2023)
Инновационный Евразийский университет,7M04105 Государственное и местное управление
Казахский национальный аграрный исследовательский университет,7M04105 Государственное и местное управление
Актюбинский региональный университет имени К.Жубанова,7M04105 Государственное и местное управление
Костанайский региональный университет имени Ахмет Байтұрсынұлы,7M04105 Государственное и местное управление
Казахский Национальный педагогический университет имени Абая,7M04105 Государственное и местное управление
Казахский Национальный педагогический университет имени Абая,7M04105 Государственное и местное управление (профильная )
Университет «Туран-Астана»,7M04105 Государственное и местное управление HN
Международный университет информационных технологий,7M04105 Деловое администрирование Global Executive MBA
Восточно-Казахстанский технический университет им. Д. Серикбаева,7M04105 Индустриальный менеджмент
Университет «Туран»,7M04105 Маркетинг
Алматы менеджмент университет,7M04105 Маркетинг (2 г.о.)
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M04105 МВА в горно-металлургическом комплексе
Карагандинский университет Казпотребсоюза,7M04105 Менеджмент
Восточно-Казахстанский университет имени Сарсена Аманжолова,7M04105 Менеджмент
Esil University,7M04105 Менеджмент
Университет «Мирас»,7M04105 Менеджмент
Академия «Кайнар»,7M04105 Менеджмент (научно-педагогическое)
Жетысуский университет имени Ильяса Жансугурова,7M04105 Менеджмент в юридической практике
Алматинский технологический университет,7M04105 Учет и аудит
Кызылординский университет имени Коркыт Ата,7M04105 Учет и аудит
Торайгыров университет,7M04105 Учёт и аудит
Атырауский университет имени Х.Досмухамедова,7M04105 Финансовая экономика
Университет КИМЭП,7M04105 Финансы
Северо-Казахстанский университет им.М.Козыбаева,7M04105 Финансы
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M04105 Финансы государственного и реального сектора
Кокшетауский университет имени Ш. Уалиханова,7M04105 Финансы и социальная ответственность бизнеса
Alikhan Bokeikhan University,7M04105 Экономика
Атырауский университет нефти и газа имени С. Утебаева,7M04105 Экономика нефтегазового бизнеса
Евразийский технологический университет,7M04106 Communication Management
Атырауский университет нефти и газа имени С. Утебаева,7M04106 EMBA Женское лидерство в энергетической отрасли
Кокшетауский университет имени Ш. Уалиханова,7M04106 Банковские технологии и финансовая аналитика
Университет КАЗГЮУ имени М.С. Нарикбаева,7M04106 Бизнес и Менеджмент
Северо-Казахстанский университет им.М.Козыбаева,7M04106 Государственное администрирование
Торайгыров университет,7M04106 Государственное и местное управление
Западно-Казахстанский университет имени Махамбета Утемисова,7M04106 Государственное и местное управление
Казахский национальный университет им.аль-Фараби,7M04106 Деловое администрирование
Университет «Туран»,7M04106 Деловое администрирование (MBA)
Международный университет информационных технологий,7M04106 Деловое администрирование EMBA «HR DIGITAL»
Актюбинский региональный университет имени К.Жубанова,7M04106 Маркетинг
Костанайский региональный университет имени Ахмет Байтұрсынұлы,7M04106 Маркетинг
Казахский Национальный педагогический университет имени Абая,7M04106 Маркетинг
Казахский Национальный педагогический университет имени Абая,7M04106 Маркетинг (Профильная)
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M04106 Маркетинг и управление брендами на рынке товаров и услуг (2 г.)
Карагандинский университет Казпотребсоюза,7M04106 Менеджмент
Международный университет Астана,7M04106 Менеджмент
Esil University,7M04106 Менеджмент
Международный Таразский инновационный институт имени Шерхана Муртазы,7M04106 Менеджмент: Управление человеческими ресурсами
Казахстанско-Британский технический университет,7M04106 Управление проектами
Казахстанско-Британский технический университет,7M04106 Управление проектами (профильное направление)
Восточно-Казахстанский технический университет им. Д. Серикбаева,7M04106 Учет и аудит на предприятиях
Алматинский технологический университет,7M04106 Финансы
Алматы менеджмент университет,7M04106 Финансы
Жетысуский университет имени Ильяса Жансугурова,7M04106 Финансы
Жетысуский университет имени Ильяса Жансугурова,7M04106 Финансы
Университет КИМЭП,7M04106 Экономика
Академия государственного управления при президенте РК,7M04106 Экономика (ME-2023)
Академия «Кайнар»,7M04106 Экономика (научно-педагогическое)
Казахский национальный исследовательский технический университет им. К.И.Сатпаева,7M04106 Экономический анализ
Восточно-Казахстанский технический университет им. Д. Серикбаева,7M04107 Social медиа маркетинг
Казахстанско-Британский технический университет,7M04107 Деловое администрирование
Казахский национальный университет им.аль-Фараби,7M04107 Деловое администрирование
Alikhan Bokeikhan University,7M04107 Деловое администрирование
Университет «Туран»,7M04107 Деловое администрирование (EMBA)
Каспийский университет технологий и инжиниринга имени Ш. Есенова,7M04107 Деловое администрирование (EMBA)
Международный университет информационных технологий,7M04107 Деловое администрирование Global MBA
Атырауский университет нефти и газа имени С. Утебаева,7M04107 Информационные технологии (EMBA)
Международный Таразский инновационный институт имени Шерхана Муртазы,7M04107 Менеджмент: Управление человеческими ресурсами
Карагандинский университет Казпотребсоюза,7M04107 Учет и аудит
Костанайский региональный университет имени Ахмет Байтұрсынұлы,7M04107 Учет и аудит
Esil University,7M04107 Учет и аудит
Университет «Мирас»,7M04107 Финансовая экономика
Университет имени Сулеймана Демиреля,7M04107 Финансовые технологии MBA
Торайгыров университет,7M04107 Финансовый менеджмент
Западно-Казахстанский инновационно-технологический университет,7M04107 Финансы  (1 г)
Академия «Кайнар»,7M04107 Финансы (научно-педагогическое)
Восточно-Казахстанский университет имени Сарсена Аманжолова,7M04107 Финансы и учет
Южно-Казахстанский университет им. М.Ауэзова,7M04107 Цифровая экономика (СУ СНГ)
Университет имени Шакарима города Семей,7M04107 Экономика (1 год)
Северо-Казахстанский университет им.М.Козыбаева,7M04107 Экономика в бизнесе
Университет «Туран-Астана»,7M04108 HR-Менеджмент HN
Костанайский региональный университет имени Ахмет Байтұрсынұлы,7M04108 Государственное и местное управление
Университет имени Шакарима города Семей,7M04108 Государственное и местное управление (1 год)
Актюбинский региональный университет имени К.Жубанова,7M04108 Деловое администрирование
Alikhan Bokeikhan University,7M04108 Деловое администрирование (MBA)
Международный университет информационных технологий,7M04108 Деловое администрирование EMBA «HR GENERAL»
Казахский национальный университет им.аль-Фараби,7M04108 Деловое администрирование в здравоохранении
Казахстанско-Британский технический университет,7M04108 Деловое администрирование для руководителей (EMBA)
Южно-Казахстанский университет им. М.Ауэзова,7M04108 Менеджмент. Международное управление (СУ СНГ)
Карагандинский университет Казпотребсоюза,7M04108 Учет и аудит
Университет «Туран»,7M04108 Учет и аудит
Esil University,7M04108 Учет и аудит
Северо-Казахстанский университет им.М.Козыбаева,7M04108 Финансовая аналитика
Восточно-Казахстанский технический университет им. Д. Серикбаева,7M04108 Финансовый аналитик
Алматинский гуманитарно-экономический университет,7M04108 Экономика
Университет имени Сулеймана Демиреля,7M04109   Проектное управление
Международный университет информационных технологий,7M04109 EMBA в цифровых медиа и PR
Университет «Туран-Астана»,7M04109 HR-Менеджмент
Казахский национальный университет им.аль-Фараби,7M04109 Инновационный менеджмент
Костанайский региональный университет имени Ахмет Байтұрсынұлы,7M04109 Маркетинг
Университет «Туран»,7M04109 Менеджмент
Университет имени Шакарима города Семей,7M04109 Менеджмент (1 год)
Южно-Казахстанский университет им. М.Ауэзова,7M04109 Менеджмент.  Управление международными проектами (СУ СНГ)
Университет КИМЭП,7M04109 Образовательная политика и управление
Жетысуский университет имени Ильяса Жансугурова,7M04109 Стратегический менеджмент (EMBA)
Международный университет Астана,7M04109 Стратегическое управление и лидерство (ЕМВА)
Каспийский университет технологий и инжиниринга имени Ш. Есенова,7M04109 Финансовый менеджмент
Карагандинский университет Казпотребсоюза,7M04109 Финансы
Esil University,7M04109 Финансы 2 г
Северо-Казахстанский университет им.М.Козыбаева,7M04109 Экономика
Актюбинский региональный университет имени К.Жубанова,7M04109 Экономика
Алматинский гуманитарно-экономический университет,7M04109 Экономика
Международный университет Астана,7M04110 Бизнес-аналитика
Международный Таразский инновационный институт имени Шерхана Муртазы,7M04110 Государственное и местное управление
Казахский национальный университет им.аль-Фараби,7M04110 Деловое администрирование в здравоохранении
Костанайский региональный университет имени Ахмет Байтұрсынұлы,7M04110 Менеджмент
Алматы менеджмент университет,7M04110 Менеджмент
Казахский Национальный педагогический университет имени Абая,7M04110 Менеджмент (профильная)
Жетысуский университет имени Ильяса Жансугурова,7M04110 Менеджмент в здравоохранении
Международный университет информационных технологий,7M04110 Проектный менеджмент (1)
Академия государственного управления при президенте РК,7M04110 Управление человеческими ресурсами (MHRM 2023)
Алматинский гуманитарно-экономический университет,7M04110 Учет и аудит
Университет имени Шакарима города Семей,7M04110 Учет и аудит (1 год)
Карагандинский университет Казпотребсоюза,7M04110 Финансы
Esil University,"7M04110 Финансы 1-1,5 г"
Университет «Туран»,7M04110 Экономика
Южно-Казахстанский университет им. М.Ауэзова,7M04110 Экономика
Университет Дружбы народов имени академика А.Куатбекова,7M04110 Экономика
Университет имени Сулеймана Демиреля,7M04110 Экономика и бизнес аналитика
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M04110 Экономика-1
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M04111 Аналитическая экономика
Северо-Казахстанский университет им.М.Козыбаева,7M04111 Государственное и местное управление
Международный Таразский инновационный институт имени Шерхана Муртазы,7M04111 Государственное и местное управление
Баишев Университет,7M04111 Государственное и местное управление
Западно-Казахстанский аграрно-технический университет им. Жангир хана,7M04111 Государственное и местное управление-1
Таразский  региональный университет имени М.Х.Дулати,7M04111 Государственное управление и администрирование
Карагандинский университет Казпотребсоюза,7M04111 Маркетинг
Esil University,7M04111 Маркетинг 2 г
Международный университет Астана,7M04111 Менеджмент
Актюбинский региональный университет имени К.Жубанова,7M04111 Менеджмент
Жетысуский университет имени Ильяса Жансугурова,7M04111 Менеджмент в образовании (Executive MBA)
Казахский национальный университет им.аль-Фараби,7M04111 Менеджмент(РУДН)
Международный университет информационных технологий,7M04111 Практический PR и репутационный Маркетинг
Алматинский гуманитарно-экономический университет,7M04111 Учет и аудит
Казахстанско-Британский технический университет,7M04111 Финансовый риск-менеджмент
Университет «Туран»,7M04111 Финансы
Костанайский региональный университет имени Ахмет Байтұрсынұлы,7M04111 Финансы
Казахско-русский международный университет,7M04111 Финансы
Университет имени Шакарима города Семей,7M04111 Финансы (1 год)
Университет «Туран-Астана»,7M04111 Экономика
Инновационный Евразийский университет,7M04111 Экономика
Международная образовательная корпорация,7M04111 Экономика (научное и педагогическое направление)
Центрально-Азиатский Инновационный Университет,7M04111 Экономика (п)
Гуманитарно-техническая академия,7M04111 Экономика (профильное)
Каспийский университет технологий и инжиниринга имени Ш. Есенова,7M04111 Экономика (профильный)
Восточно-Казахстанский технический университет им. Д. Серикбаева,7M04112 MBA Управление проектами
Баишев Университет,7M04112 Государственное и местное управление
Казахский национальный аграрный исследовательский университет,7M04112 Деловое администрирование
Университет КАЗГЮУ имени М.С. Нарикбаева,7M04112 Деловое администрирование
Университет «Туран»,7M04112 Маркетинг
Карагандинский университет Казпотребсоюза,7M04112 Маркетинг
Esil University,7M04112 Маркетинг
Университет «Туран-Астана»,7M04112 Менеджмент
Инновационный Евразийский университет,7M04112 Менеджмент
Казахский национальный университет им.аль-Фараби,7M04112 Менеджмент
Казахстанско-Британский технический университет,7M04112 Стратегический риск-менеджмент
Алматы менеджмент университет,7M04112 Управление проектами
Карагандинский университет имени академика Е.А.Букетова,7M04112 Управленческая и финансовая аналитика (executive MBA)
Казахско-русский международный университет,7M04112 Финансы
Алматинский гуманитарно-экономический университет,7M04112 Финансы
Костанайский региональный университет имени Ахмет Байтұрсынұлы,7M04112 Экономика
Южно-Казахстанский университет им. М.Ауэзова,7M04112 Экономика
Гуманитарно-техническая академия,7M04112 Экономика (Научное и педагогическое)
Атырауский университет имени Х.Досмухамедова,7M04113 HR - менеджмент
Южно-Казахстанский университет им. М.Ауэзова,7M04113 Аграрная экономика
Кокшетауский университет имени Абая Мырзахметова,7M04113 Государственное и местное управление
Казахский университет международных отношений и мировых языков им.Абылай хана,7M04113 Государственное и местное управление и менеджмент
Университет имени Шакарима города Семей,7M04113 Деловое администрирование (MBA)
Esil University,7M04113 Деловое администрирование (МВА)
Казахстанско-Немецкий университет,7M04113 Интегрированное управление водными ресурсами
Казахстанско-Британский технический университет,7M04113 Макрофинансы и Data Science (MBA)
Северо-Казахстанский университет им.М.Козыбаева,7M04113 Менеджмент
Международный университет Астана,7M04113 Менеджмент в образовании (EMBA)
Карагандинский университет Казпотребсоюза,7M04113 Оценка
Университет «Туран-Астана»,7M04113 Учет и аудит
Гуманитарно-техническая академия,7M04113 Учет и аудит (Профильное)
Казахско-русский международный университет,7M04113 Финансы
Актюбинский региональный университет имени К.Жубанова,7M04113 Финансы
Алматинский гуманитарно-экономический университет,7M04113 Финансы
Кокшетауский университет имени Абая Мырзахметова,7M04114 Государственное и местное управление
Казахский университет международных отношений и мировых языков им.Абылай хана,7M04114 Государственное и местное управление и менеджмент
Университет Нархоз,7M04114 Деловое администрирование
Университет имени Шакарима города Семей,7M04114 Деловое администрирование (Еxecutive МВА)
Алматинский гуманитарно-экономический университет,7M04114 Маркетинг
Алматы менеджмент университет,7M04114 Маркетинг  (1 г.о.)
Карагандинский университет Казпотребсоюза,7M04114 Оценка
Казахский национальный аграрный исследовательский университет,7M04114 Оценка
Казахско-русский международный университет,7M04114 Предпринимательство и управление финансами
Международный университет Астана,7M04114 Социальное предпринимательство (ЕМВА)
Гуманитарно-техническая академия,7M04114 Учет и аудит (научное и педагогическое)
Атырауский университет имени Х.Досмухамедова,"7M04114 Учет, аудит и контроллинг"
Казахстанско-Британский технический университет,7M04114 Финансовые технологии (MBA)
Северо-Казахстанский университет им.М.Козыбаева,7M04114 Финансы
Евразийский национальный университет им. Л.Н.Гумилева,7M04114 Финансы
Университет «Туран-Астана»,7M04114 Финансы HN
Северо-Казахстанский университет им.М.Козыбаева,7M04115 Государственное администрирование
Университет «Туран-Астана»,7M04115 Государственное и местное управление
Инновационный Евразийский университет,7M04115 Государственное и местное управление
Актюбинский региональный университет имени К.Жубанова,7M04115 Государственное и местное управление
Гуманитарно-техническая академия,7M04115 Государственное и местное управление (профильное)
Международный университет Астана,7M04115 Лидерство в образовании (ЕМВА)
Алматинский гуманитарно-экономический университет,7M04115 Маркетинг
Esil University,7M04115 Стратегический менеджмент (Executive MBA)
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M04115 Стратегический менеджмент (Executive MBA)
Карагандинский университет Казпотребсоюза,7M04115 Технологическое предпринимательство
Казахский национальный университет им.аль-Фараби,7M04115 Управление проектами
Кокшетауский университет имени Абая Мырзахметова,7M04115 Учет и аудит
Казахстанско-Британский технический университет,7M04115 Финансовый риск-менеджмент и Data Science (MBA)
Таразский  региональный университет имени М.Х.Дулати,7M04115 Финансы
Атырауский университет имени Х.Досмухамедова,7M04115 Финансы и экономика
Казахский национальный аграрный исследовательский университет,7M04115 Экономика (1г. проф.)
Alikhan Bokeikhan University,7M04115 Экономика (профильная)
Университет имени Шакарима города Семей,7M04115 Экономика и управление
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M04116 Бизнес менеджмент и технологии
Университет имени Шакарима города Семей,7M04116 Бухгалтерский учет и финансы
Гуманитарно-техническая академия,7M04116 Государственное и местное управление (научное и педагогическое)
Алматинский гуманитарно-экономический университет,7M04116 Менеджмент в государственном секторе
Esil University,7M04116 Менеджмент в образовании
Атырауский университет имени Х.Досмухамедова,7M04116 Менеджмент здравоохранения
Карагандинский университет Казпотребсоюза,7M04116 Стратегический менеджмент и лидерство (MBA)
Международный университет Астана,7M04116 Стратегическое управление и лидерство (МВА)
Казахский национальный университет им.аль-Фараби,7M04116 Управление проектами
Инновационный Евразийский университет,7M04116 Управленческое деловое администрирование (ЕМВА)
Кокшетауский университет имени Абая Мырзахметова,7M04116 Финансы
Алматы менеджмент университет,7M04116 Финансы
Костанайский социально-технический университет имени академика Зулкарнай Алдамжар,7M04116 Финансы
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M04117 Аграрный бизнес
Таразский  региональный университет имени М.Х.Дулати,7M04117 Бухгалтерский учет и аудит
Alikhan Bokeikhan University,7M04117 Деловое администрирование (профильное)
Евразийский национальный университет им. Л.Н.Гумилева,7M04117 Инновационный менеджмент
Карагандинский университет Казпотребсоюза,7M04117 Международный учет и аудит
Университет Нархоз,7M04117 Менеджмент
Казахский национальный аграрный исследовательский университет,7M04117 Менеджмент (1г. проф.)
Esil University,7M04117 Менеджмент в здравоохранении
Казахский национальный университет им.аль-Фараби,7M04117 Учет и аудит
Казахстанско-Немецкий университет,7M04117 Финансы
Гуманитарно-техническая академия,7M04117 Финансы (профильное)
Университет имени Шакарима города Семей,7M04117 Экономика и управление (1 год)
Esil University,7M04118 EMBA - Менеджмент в здравоохранении
Казахский агротехнический исследовательский университет имени С. Сейфуллина,7M04118 Бухгалтерский учет и бизнес-аналитика
Университет имени Шакарима города Семей,7M04118 Бухгалтерский учет и финансы (1 год)
Alikhan Bokeikhan University,7M04118 Деловое администрирование (ЕMBA)
Казахстанско-Немецкий университет,7M04118 Международный менеджмент предприятий
Академия государственного управления при президенте РК,7M04118 Региональное развитие (MRD mod 2023)
Казахский национальный университет им.аль-Фараби,7M04118 Учет и аудит  1г
Гуманитарно-техническая академия,7M04118 Финансы (научное и педагогическое)
Международный казахско-турецкий университет им.Х.А.Ясави,7M04118 Экономика
Академия государственного управления при президенте РК,7M04119 Государственное управление (MPA-2023)
Актюбинский региональный университет имени К.Жубанова,7M04119 Деловое администрирование
Международный казахско-турецкий университет им.Х.А.Ясави,7M04119 Менеджмент
Алматинский гуманитарно-экономический университет,7M04119 Менеджмент
Гуманитарно-техническая академия,7M04119 Менеджмент (профильное)
